Number	Title	Faculty	Semester	Section	Credits	Modality**
A011B	Collaborative and Participatory Evaluation	Bocala, Candice	Fall 2	1	2	IP
A011D	The Arts of Communication for Educators	McCarthy, Timothy	Fall 2	1	2	O
A011D	The Arts of Communication for Educators	McCarthy, Timothy	Spring 1	1	2	IP
A011H	Essentials of Coaching for Leaders and Educators	Pingree, Allison	Spring 1	1	2	IP
A011S	Getting to Pilot-Ready (in Six Weeks)	McCabe, Susan	Spring 2	1	2	O
A019	Education Sector Nonprofits	Honan, James	Fall	1	4	IP
A027	Strategic Finance for Nonprofit Leaders	Honan, James	Fall	1	4	O
A027	Strategic Finance for Nonprofit Leaders	Honan, James	Spring	1	4	IP
A029	An Introduction to Education Finance and Budgeting	Fullerton, Jon	Spring	1	4	IP
A029	An Introduction to Education Finance and Budgeting	Fullerton, Jon	Spring	2	4	O
A035	The Teacher Workforce: Management and Policy	Taylor, Eric	Spring	1	4	IP
A101	Native Americans in the 21st Century: Nation-Building I	Kalt, Joseph; Riley, Angela	January	1	2	IP
A102	Native Americans in the 21st Century: Nation-Building II	Henson, Eric	Spring	1	4	IP
A108	Strategies and Policies for Educational Excellence with Equity	Ferguson, Ronald	Spring	1	4	IP
A111J	Critical Issues in Special Education Policy and Practice	Schifter, Laura	January	1	2	IP
A118A	Religious Literacy in K–12 Public Education: Comparative Global Perspectives	Edwards, Brandon	Fall 2	1	2	IP
A122	The Why, What, and How of School, Family, and Community Partnerships	Mapp, Karen	Spring	1	4	O
A122	The Why, What, and How of School, Family, and Community Partnerships	Mapp, Karen	Spring	2	4	O
A123	Teacher and Teaching Quality	Barmore, Johanna	Spring	1	4	IP
A130	Building Nimble and Democratic Minds	Rothstein, Daniel, Santana, Luz	Fall	1	4	IP
A130A	Talking Politics in a Polarized Nation: Research and Theory for Better Discourse	Torres, Eric	Fall 2	1	2	IP
A132	Educational Innovation and Social Entrepreneurship in Comparative Perspective	Reimers, Fernando	Spring	1	4	IP
A132	Educational Innovation and Social Entrepreneurship in Comparative Perspective	Reimers, Fernando	Spring	2	4	O
A135	Education Entrepreneurship	Honan, James	Spring	1	4	IP
A143	Public Narrative	Ganz, Marshall	Fall	1	4	IP
A145	Race and the State: The Role of Public Policy in U.S. Racial Inequality	Ang, Desmond	Fall	1	4	IP
A147	Education and Resistance in Community-based Youth Organizations	Baldridge, Bianca	Spring	1	4	O
A148	State Education Policy in Times of Pandemic Disruption: A “Back to School” Policy Practicum	Reville, Paul	Fall	1	4	IP
A162	The Art and Science of Portraiture	Liefshitz, Irene	Fall	1	4	IP
A164	Program Evaluation and Education Policy	Kane, Thomas	Spring	1	4	IP
A164	Program Evaluation and Education Policy	Lovison, Virginia	Spring	2	4	O
A203	Educational Justice	Fay, Jacob	Fall	1	4	IP
A210H	Introduction to Policymaking in Action	Schifter, Laura	May	1	2	IP
A210K	Preserving Privilege, Contesting Exclusion: Parents' Roles in Educational Inequality	Bruhn, Sarah	Fall 1	1	2	IP
A212	Moral Leadership: Ethics in Public Life	Risse, Mathias	Spring	1	4	IP
A214	The Role of Philanthropy in Education	Scott, Irvin	Fall	1	4	FLEX
A217A	Economics of Higher Education: Access, Outcomes, and Competition	Encinas, Jorge; Gable Alexis	Spring 2	1	2	IP
A218A	Big Data, Algorithmic Fairness, and Ethics in Education	Epps-Darling, Avriel; Klugman, Emma	Spring 2	1	2	IP
A219A	Whose Schools?: The Ethics and Politics of School Governance in the 21st Century	Reid, Ellis	Spring 1	1	2	IP
A222	Higher Education and the Law	Catanzano, Phil	Spring	1	4	IP
A302	Equity in Action in School Systems	Cheatham, Jennifer	Spring	1	4	IP
A305	Deeper Learning for All: Designing a 21st-Century School System	Fine, Sarah	Fall	1	4	O
A305	Deeper Learning for All: Designing a 21st-Century School System	Mehta, Jal	Fall	2	4	IP
A310C	Faith, Education, and Leadership	Scott, Irvin	Fall 2	1	2	O
A310C	Faith, Education, and Leadership	Scott, Irvin	Spring 1	1	2	IP
A310F	Equity-Focused Leadership Entry	Cheatham, Jennifer	May	1	2	IP
A310G	Data Wise: Using Collaborative Data Inquiry to Build Equitable Schools	Boudett, Kathryn	Spring	1	3	FLEX
A310H	Race, Equity, and Leadership	Scott, Irvin	January	1	2	IP
A310N	Coaching with Equity in Mind	Boudett, Kathryn; Shannon, Michele	Fall 1	1	2	FLEX
A310O	Coaching with Equity in Mind	Boudett, Kathryn; Shannon, Michele	Fall 2	2	2	FLEX
